385,49,127,315
383,49,127,315
373,59,121,300
340,56,127,315
308,69,121,300
273,77,121,300
235,74,127,315
203,79,127,315
179,92,127,315
172,114,127,315
170,118,127,315
170,123,127,315
175,126,127,315
193,124,127,315
223,121,127,315
250,114,127,315
274,102,127,315
297,88,133,331
325,95,127,315
349,93,127,315
371,89,127,315
382,91,127,315
387,90,127,315
390,85,127,315
387,75,133,331
385,74,133,331
385,74,133,331
385,75,133,331
385,82,133,331
383,86,133,331
378,104,133,331
375,110,133,331
368,113,133,331
362,109,133,331
366,104,133,331
391,104,133,331
420,108,133,331
458,113,133,331
497,112,140,347
500,111,140,347
489,113,140,347
457,117,140,347
422,101,147,365
407,91,147,365
399,98,140,347
386,121,140,347
382,133,133,331
375,134,133,331
373,137,133,331
374,137,133,331
385,131,133,331
414,119,140,347
446,106,147,365
457,106,147,365
459,101,147,365
458,70,147,365
459,48,147,365
434,40,147,365
398,29,154,383
375,25,154,383
368,31,154,383
363,42,154,383
351,32,162,402
335,37,162,402
328,47,162,402
327,55,154,383
302,54,154,383
272,53,147,365
241,51,147,365
239,42,147,365
255,28,147,365
271,27,147,365
272,36,140,347
274,45,133,331
281,45,133,331
284,51,133,331
276,55,133,331
258,59,133,331
255,63,133,331
261,71,127,315
263,73,127,315
268,76,121,300
268,70,121,300
262,52,127,315
242,51,127,315
223,54,127,315
222,55,127,315
221,43,127,315
211,44,127,315
209,51,127,315
234,69,121,300
262,74,127,315
274,79,127,315
262,83,127,315
238,87,127,315
216,98,127,315
208,122,127,315
204,123,127,315
208,125,127,315
240,125,127,315
272,112,127,315
295,99,127,315
309,78,127,315
311,52,127,315
298,37,121,300
272,28,121,300
234,18,127,315
217,16,127,315
191,19,127,315
190,33,121,300
215,43,121,300
238,53,121,300
243,61,121,300
250,62,121,300
258,63,121,300
251,65,121,300
232,72,121,300
231,76,121,300
259,82,121,300
288,90,121,300
295,91,121,300
299,93,121,300
311,93,121,300
313,88,121,300
295,86,121,300
275,88,121,300
284,88,121,300
311,93,121,300
315,98,121,300
309,100,121,300
302,103,121,300
280,103,121,300
253,107,121,300
227,113,121,300
196,111,127,315
172,113,127,315
171,110,127,315
190,102,127,315
222,100,127,315
251,96,127,315
280,92,127,315
306,87,127,315
319,77,127,315
317,68,127,315
290,59,127,315
256,46,127,315
214,42,127,315
179,43,127,315
154,53,127,315
153,57,127,315
163,62,127,315
187,74,121,300
209,77,121,300
233,81,121,300
241,77,127,315
245,79,127,315
244,81,127,315
248,87,121,300
264,93,115,286
290,82,121,300
317,75,121,300
342,69,121,300
349,67,121,300
347,63,121,300
327,60,121,300
299,56,121,300
265,51,121,300
234,53,121,300
214,59,121,300
217,70,121,300
216,78,121,300
215,87,121,300
216,93,121,300
212,93,121,300
192,90,121,300
167,90,121,300
161,91,121,300
168,100,115,286
191,96,115,286
215,92,115,286
234,92,115,286
242,93,115,286
255,94,115,286
265,100,110,272
257,99,110,272
237,101,110,272
227,108,110,272
224,117,110,272
245,121,110,272
275,123,110,272
295,124,110,272
306,119,110,272
320,110,110,272
316,103,110,272
284,68,115,286
242,62,115,286
211,63,121,300
185,87,121,300
189,99,121,300
220,110,115,286
254,110,115,286
279,114,115,286
303,115,115,286
331,118,115,286
345,123,115,286
340,125,115,286
321,127,115,286
297,126,115,286
270,119,115,286
243,114,115,286
238,107,115,286
265,97,115,286
304,84,115,286
337,85,115,286
370,87,115,286
407,86,115,286
436,93,115,286
458,101,115,286
459,97,115,286
446,89,115,286
416,82,115,286
379,66,121,300
335,60,121,300
295,59,127,315
264,65,127,315
238,73,127,315
227,86,127,315
234,95,127,315
262,98,127,315
286,100,127,315
289,94,127,315
277,94,127,315
252,84,127,315
222,85,121,300
171,78,121,300
123,81,121,300
96,84,121,300
89,86,121,300
92,87,121,300
119,94,115,286
146,95,115,286
173,94,115,286
202,90,115,286
231,87,115,286
255,88,115,286
271,88,115,286
277,86,115,286
273,75,115,286
247,69,115,286
220,66,115,286
193,64,115,286
165,65,115,286
149,65,121,300
149,72,121,300
173,82,121,300
202,89,121,300
230,98,121,300
252,106,121,300
260,109,121,300
263,110,121,300
260,109,121,300
237,102,121,300
225,101,121,300
225,101,121,300
249,97,121,300
258,92,121,300
248,90,121,300
231,92,121,300
228,94,121,300
221,93,121,300
181,87,127,315
138,91,127,315
109,95,127,315
98,100,127,315
73,105,127,315
72,108,127,315
93,104,127,315
121,97,127,315
153,100,121,300
174,94,121,300
187,85,121,300
194,73,121,300
187,69,121,300
154,61,127,315
128,61,127,315
126,65,127,315
135,70,127,315
168,73,127,315
207,74,127,315
228,76,127,315
234,80,127,315
258,84,127,315
263,85,127,315
244,88,127,315
247,92,127,315
280,95,127,315
309,92,127,315
318,89,127,315
326,84,127,315
331,71,121,300
303,70,121,300
271,62,121,300
264,31,121,300
242,37,127,315
211,35,133,331
183,40,140,347
179,48,133,331
161,65,133,331
138,103,133,331
143,110,133,331
167,107,133,331
191,103,133,331
218,100,133,331
238,100,127,315
243,92,127,315
235,86,127,315
213,80,127,315
186,77,127,315
177,79,127,315
176,83,127,315
198,86,127,315
226,91,127,315
252,93,127,315
273,95,127,315
278,93,127,315
280,95,127,315
283,92,127,315
282,86,127,315
280,80,127,315
284,77,127,315
312,68,127,315
328,65,127,315
322,62,127,315
318,70,121,300
